Order,PID,'MS SubClass','MS Zoning','Lot Frontage','Lot Area',Street,Alley,'Lot Shape','Land Contour',Utilities,'Lot Config','Land Slope',Neighborhood,'Condition 1','Condition 2','Bldg Type','House Style','Overall Qual','Overall Cond','Year Built','Year Remod/Add','Roof Style','Roof Matl','Exterior 1st','Exterior 2nd','Mas Vnr Type','Mas Vnr Area','Exter Qual','Exter Cond',Foundation,'Bsmt Qual','Bsmt Cond','Bsmt Exposure','BsmtFin Type 1','BsmtFin SF 1','BsmtFin Type 2','BsmtFin SF 2','Bsmt Unf SF','Total Bsmt SF',Heating,'Heating QC','Central Air',Electrical,'1st Flr SF','2nd Flr SF','Low Qual Fin SF','Gr Liv Area','Bsmt Full Bath','Bsmt Half Bath','Full Bath','Half Bath','Bedroom AbvGr','Kitchen AbvGr','Kitchen Qual','TotRms AbvGrd',Functional,Fireplaces,'Fireplace Qu','Garage Type','Garage Yr Blt','Garage Finish','Garage Cars','Garage Area','Garage Qual','Garage Cond','Paved Drive','Wood Deck SF','Open Porch SF','Enclosed Porch','3Ssn Porch','Screen Porch','Pool Area','Pool QC',Fence,'Misc Feature','Misc Val','Mo Sold','Yr Sold','Sale Type','Sale Condition',SalePrice
2290,923228290,180,3,21,1936,1,-1,1,1,1,2,1,1,2,2,-2,-3,4,6,1970,1970,2,2,4,4,-1,0,0,0,2,1,0,1,1,131,3,499,0,630,1,1,1,2,630,0,0,630,1,0,1,0,1,1,0,3,3,0,-3,-3,1978.132443,-2,0,0,-3,-3,0,0,0,0,0,0,0,-3,1,-3,0,12,2007,5,3,84500
2291,923228390,160,3,21,1890,1,-1,1,1,1,2,1,1,2,2,-2,0,4,3,1976,1976,2,2,4,4,-1,0,0,0,2,0,0,-1,-2,0,-2,0,546,546,1,2,1,2,546,546,0,1092,0,0,1,1,3,1,0,6,3,0,-3,2,1976,-1,1,286,0,0,0,0,0,0,0,0,0,-3,0,-3,0,4,2007,1,3,75190
2292,923229010,80,1,69.22459,11333,1,-1,0,1,1,1,1,0,2,2,2,-4,6,5,1976,1976,2,2,3,3,-1,0,0,0,1,1,0,1,2,539,-2,0,490,1029,1,0,1,2,1062,0,0,1062,1,0,1,0,3,1,0,5,3,2,0,2,1976,0,2,539,0,0,0,120,0,0,0,0,0,-3,-2,-3,0,5,2007,5,3,146800
2293,923229040,85,1,72,9129,1,-1,1,1,1,2,1,0,2,2,2,-3,5,5,1977,1977,2,2,-1,-1,1,144,0,0,1,1,0,1,3,923,-2,0,0,923,1,0,1,2,1008,0,0,1008,1,0,1,0,1,1,1,4,3,1,-1,2,1977,1,2,678,0,0,0,201,66,0,0,0,0,-3,1,-3,0,7,2007,5,3,153500
2294,923229100,80,1,69.22459,15957,1,-1,0,-2,1,1,0,0,2,2,2,-4,6,6,1977,1977,2,2,3,-1,-1,0,0,0,1,1,0,2,3,1148,-2,0,96,1244,1,0,1,2,1356,0,0,1356,2,0,2,0,3,1,0,6,3,1,0,2,1977,1,2,528,0,0,0,1424,0,0,0,0,0,-3,1,-3,0,9,2007,5,3,188000
2296,923230010,60,1,68,8286,1,-1,0,1,1,1,1,0,2,2,2,0,5,7,1977,1977,2,2,-1,-1,-1,0,0,0,1,1,0,-1,0,531,-2,0,185,716,1,2,1,2,716,716,0,1432,1,0,1,1,3,1,0,6,3,1,1,2,1977,1,2,531,0,0,0,0,136,0,0,240,0,-3,2,-3,0,6,2007,5,3,157000
2297,923230120,85,1,50,6723,1,-1,1,1,1,2,1,0,2,2,2,-3,5,7,1971,1971,2,2,-6,3,-1,0,0,0,2,1,0,1,3,796,-2,0,0,796,1,0,1,2,796,0,0,796,0,1,1,0,2,1,0,5,3,0,-3,-3,1978.132443,-2,0,0,-3,-3,0,129,0,0,0,0,0,-3,0,-3,0,9,2007,5,3,138000
2298,923230180,85,1,54,7244,1,-1,1,1,1,2,1,0,2,2,2,-3,5,7,1970,1970,2,2,-5,-5,-1,0,0,1,2,1,0,1,2,619,-2,0,149,768,1,2,1,2,768,0,0,768,1,0,1,0,2,1,0,5,3,0,-3,-2,1987,-1,2,624,0,0,0,104,0,0,0,0,0,-3,-2,-3,0,4,2007,5,3,129500
2300,923252080,20,1,69,7599,1,-1,1,1,1,1,1,0,2,2,2,3,4,6,1982,2006,2,2,3,-1,-1,0,0,0,2,0,0,-1,2,565,-2,0,280,845,1,0,1,2,845,0,0,845,1,0,1,0,2,1,0,4,3,0,-3,-2,1987,-1,2,360,0,0,0,0,0,0,0,0,0,-3,-2,-3,0,6,2007,5,3,129500
2301,923275010,20,1,69.22459,11000,1,-1,-1,1,1,1,1,0,2,2,2,3,5,6,1976,2003,2,2,-1,-1,-1,0,0,0,1,1,0,-1,-1,1090,-2,0,0,1090,1,0,1,2,1178,0,0,1178,1,0,1,1,3,1,0,6,3,0,-3,2,1976,-1,2,502,0,0,0,0,44,0,0,88,0,-3,1,-3,0,6,2007,5,3,135000
