'Overall Qual','Overall Cond','Year Built','Year Remod/Add','Exter Qual',Foundation,'Bsmt Qual','Bsmt Exposure','BsmtFin Type 1','BsmtFin SF 1','Total Bsmt SF','Heating QC','Central Air','1st Flr SF','Gr Liv Area','Garage Yr Blt','Garage Finish','Garage Cars','Garage Area',SalePrice
5,6,1961,1961,0,2,0,-1,0,468,882,0,1,896,896,1961,-1,1,730,105000
6,6,1958,1958,0,2,0,-1,2,923,1329,0,1,1329,1329,1958,-1,1,312,172000
8,5,2001,2001,1,1,1,0,3,616,1338,2,1,1338,1338,2001,1,2,582,213500
8,5,1992,1992,1,1,1,-1,2,263,1280,2,1,1280,1280,1992,0,2,506,191500
6,7,1992,2007,0,1,1,-1,2,935,1168,2,1,1187,1187,1992,1,2,420,185000
6,5,1998,1998,0,1,1,-1,-2,0,789,1,1,789,1465,1998,1,2,393,180400
7,5,1990,1990,0,1,1,2,3,637,1300,1,1,1341,1341,1990,-1,2,506,171500
4,5,1951,1951,0,2,0,-1,-1,120,864,2,1,864,864,1951,-1,2,400,141000
6,7,1970,1970,0,2,0,-1,2,578,1004,2,1,1004,1004,1970,1,2,480,149000
5,6,1971,2008,0,2,0,-1,3,734,1078,2,1,1078,1078,1971,1,2,500,149900
5,6,1968,1968,0,2,0,-1,1,775,1056,2,1,1056,1056,1968,-1,1,304,142000
4,5,1970,1970,0,2,0,-1,2,804,882,0,1,882,882,1970,1,2,525,126000
4,5,1971,1971,0,2,0,-1,2,432,864,0,1,864,864,1978.132443,-2,0,0,115000
7,5,1999,1999,1,1,1,-1,3,1051,1405,2,1,1337,1337,1999,1,2,511,184000
6,5,1971,1971,0,2,0,-1,0,156,483,0,1,483,987,1971,-1,1,264,96000
5,5,1971,1971,0,2,0,-1,0,300,525,0,1,525,1092,1997,-1,1,320,105500
6,5,1977,1977,0,2,1,-1,2,360,1069,0,1,1069,1069,1977,0,2,440,127500
6,6,1975,1975,0,2,0,-1,2,514,855,0,1,855,1456,1975,-1,2,440,149900
7,6,1975,1975,0,2,1,-1,-2,0,836,2,1,836,836,1975,-1,1,308,120000
6,5,1978,1978,0,2,1,-1,2,311,855,-1,1,855,1456,1978,-1,2,440,146000
8,5,2006,2006,1,1,1,0,3,24,1370,2,1,1370,1370,2006,0,2,484,205000
6,5,2005,2005,1,1,1,-1,-2,0,1324,2,1,1324,1324,2005,1,2,430,199500
7,5,2006,2006,1,1,1,1,3,16,1145,2,1,1145,1145,2006,1,2,437,160000
8,5,2004,2005,1,1,1,-1,3,24,1256,2,1,1269,1269,2004,1,2,430,192000
7,5,2004,2004,1,1,1,-1,3,326,384,2,1,744,1374,2004,1,2,400,184500
7,5,2000,2000,0,1,1,-1,3,250,384,2,1,774,1430,2000,1,2,400,180000
6,5,2005,2005,1,1,2,-1,3,1414,1468,2,1,1468,1468,2005,1,2,528,271500
6,5,1980,1980,0,2,1,-1,1,543,923,0,1,923,923,1980,0,1,264,143000
6,5,1979,1979,0,2,1,-1,-2,0,918,0,1,918,918,1979,-1,1,264,99500
6,5,1984,1984,0,2,1,-1,2,623,744,0,1,752,752,1984,-1,1,264,125000
6,5,1984,1985,0,1,1,-1,3,338,1040,0,1,1097,1097,1986,-1,2,480,152000
5,5,1920,1950,0,3,0,-1,-2,0,816,0,-1,1012,1012,1920,-1,1,429,67500
5,7,1961,1995,0,2,0,1,2,899,1109,0,1,1155,1155,1987,-1,2,576,148000
5,8,1965,2009,0,2,0,-1,3,553,894,2,1,894,894,1973,-1,1,336,138500
5,5,1967,1967,0,2,0,-1,1,450,882,0,1,900,900,1970,-1,1,280,122000
5,5,1963,1963,0,2,0,-1,2,824,1040,-1,1,1040,1040,1963,1,1,308,133000
5,8,1962,2010,0,2,0,-1,2,659,1040,2,1,1040,1040,1962,-1,1,260,127000
7,5,2004,2005,1,1,2,1,3,1298,1488,2,1,1488,1488,2004,1,2,506,260000
7,5,2004,2004,1,1,1,1,3,280,600,2,1,600,1200,2004,0,2,480,155000
7,5,2004,2005,1,1,1,-1,-2,0,600,2,1,600,1200,2004,0,2,480,151000
7,5,2004,2005,1,1,1,-1,3,368,600,2,1,600,1200,2004,0,2,480,149500
6,5,2005,2005,1,1,1,-1,3,376,600,2,1,600,1236,2005,0,2,480,152000
7,5,1999,1999,1,1,1,-1,2,604,696,2,1,696,1416,1999,-1,2,484,155000
7,5,2003,2003,1,1,1,-1,3,244,530,2,1,530,1080,2003,0,2,496,147110
8,5,1980,1980,1,2,1,2,3,728,728,0,1,788,788,1980,1,2,484,155000
8,6,1978,1978,1,2,1,2,3,1052,1226,0,1,1226,1226,1978,1,2,484,206000
6,8,1976,2005,1,2,0,-1,3,533,725,2,1,725,1479,1976,0,2,475,130500
7,5,2002,2002,1,1,1,-1,3,833,1492,2,1,1492,1492,2002,0,2,596,230000
6,7,1972,2006,0,2,0,-1,2,982,1161,0,1,1381,1381,1972,0,2,676,197500
5,5,1966,1966,0,2,0,-1,0,698,1232,0,1,1232,1232,1966,0,2,490,142250
6,5,1963,1963,0,2,0,-1,2,569,1328,0,1,1328,1328,1963,-1,2,528,143000
4,5,1959,1959,0,2,0,-1,2,569,950,-1,1,1225,1225,1978.132443,-2,0,0,128950
5,5,1966,1966,0,1,1,-1,1,1059,1209,1,1,1209,1209,1966,0,2,504,159000
5,7,1964,1964,0,1,0,1,3,1014,1152,0,1,1152,1152,1964,0,2,484,180500
5,6,1950,1996,0,2,0,0,3,49,1078,1,1,1078,1078,1950,-1,1,240,142125
5,7,1958,2008,0,2,0,2,1,696,858,1,1,858,858,1978.132443,-2,0,0,116500
3,2,1940,1966,0,2,0,-1,-2,0,728,2,1,1306,1306,1978.132443,-2,0,0,76500
5,5,1954,1954,0,2,0,-1,0,354,1056,0,1,1063,1063,1954,0,1,280,128000
5,6,1954,1954,0,1,0,-1,-1,540,1268,1,1,1268,1268,1954,1,1,244,132000
6,8,1966,2008,0,2,0,2,3,944,1080,1,1,1128,1128,1966,-1,1,315,178000
7,5,2003,2009,1,1,1,-1,3,1188,1480,2,1,1480,1480,2003,0,2,620,214000
5,5,1959,1959,0,2,0,-1,1,856,1143,0,1,1143,1143,1959,0,1,308,136000
5,6,1957,1957,0,2,0,-1,0,922,1314,0,1,1314,1314,1957,0,1,294,145000
6,6,1959,1959,0,2,0,-1,-2,0,1194,0,1,1194,1194,1959,0,1,312,148000
5,5,1960,1960,0,2,0,-1,0,697,1268,0,1,1264,1264,1960,-1,2,461,167500
5,5,1959,1959,0,2,0,-1,0,936,1206,-1,1,1206,1206,1959,0,1,312,108538
4,5,1956,1956,0,2,0,-1,-2,0,832,0,1,832,1337,1956,-1,1,263,108000
5,7,1952,1952,0,2,0,-1,1,339,864,0,1,1064,1064,1952,-1,1,318,135000
5,6,1955,1955,0,2,0,-1,0,648,972,0,1,972,972,1955,-1,1,305,122500
4,7,1920,1994,0,3,0,-1,-2,0,576,1,1,985,985,1989,-1,2,676,105000
5,7,1955,2007,0,0,-3,-2,-3,0,0,2,1,827,827,1967,-1,1,392,107500
5,7,1954,2003,0,2,0,-1,2,320,1086,1,1,1086,1086,1989,-1,2,490,144900
5,7,1956,2000,0,2,0,-1,1,248,936,2,1,936,936,1956,1,1,308,129000
6,5,1980,1980,0,2,0,-1,3,1056,1056,1,1,1056,1056,1980,-1,2,576,144000
5,7,1959,2006,0,2,0,-1,2,72,1063,2,1,1287,1287,1997,1,2,576,162000
6,8,1948,2004,0,2,0,-1,2,481,816,0,1,816,1224,1950,-1,1,280,132000
