overall qual,overall cond,year built,year remod/add,exter qual,foundation,bsmt qual,bsmt exposure,bsmtfin type 1,bsmtfin sf 1,total bsmt sf,heating qc,central air,1st flr sf,gr liv area,garage yr blt,garage finish,garage cars,garage area,saleprice
5,6,1961,1961,0.0,2.0,0.0,-1.0,0.0,468,882,0.0,1.0,896,896,1961,-1.0,1,730,105000
6,6,1958,1958,0.0,2.0,0.0,-1.0,2.0,923,1329,0.0,1.0,1329,1329,1958,-1.0,1,312,172000
8,5,2001,2001,1.0,1.0,1.0,0.0,3.0,616,1338,2.0,1.0,1338,1338,2001,1.0,2,582,213500
8,5,1992,1992,1.0,1.0,1.0,-1.0,2.0,263,1280,2.0,1.0,1280,1280,1992,0.0,2,506,191500
6,7,1992,2007,0.0,1.0,1.0,-1.0,2.0,935,1168,2.0,1.0,1187,1187,1992,1.0,2,420,185000
6,5,1998,1998,0.0,1.0,1.0,-1.0,-2.0,0,789,1.0,1.0,789,1465,1998,1.0,2,393,180400
7,5,1990,1990,0.0,1.0,1.0,2.0,3.0,637,1300,1.0,1.0,1341,1341,1990,-1.0,2,506,171500
4,5,1951,1951,0.0,2.0,0.0,-1.0,-1.0,120,864,2.0,1.0,864,864,1951,-1.0,2,400,141000
6,7,1970,1970,0.0,2.0,0.0,-1.0,2.0,578,1004,2.0,1.0,1004,1004,1970,1.0,2,480,149000
5,6,1971,2008,0.0,2.0,0.0,-1.0,3.0,734,1078,2.0,1.0,1078,1078,1971,1.0,2,500,149900
5,6,1968,1968,0.0,2.0,0.0,-1.0,1.0,775,1056,2.0,1.0,1056,1056,1968,-1.0,1,304,142000
4,5,1970,1970,0.0,2.0,0.0,-1.0,2.0,804,882,0.0,1.0,882,882,1970,1.0,2,525,126000
4,5,1971,1971,0.0,2.0,0.0,-1.0,2.0,432,864,0.0,1.0,864,864,1842,-2.0,0,0,115000
7,5,1999,1999,1.0,1.0,1.0,-1.0,3.0,1051,1405,2.0,1.0,1337,1337,1999,1.0,2,511,184000
6,5,1971,1971,0.0,2.0,0.0,-1.0,0.0,156,483,0.0,1.0,483,987,1971,-1.0,1,264,96000
5,5,1971,1971,0.0,2.0,0.0,-1.0,0.0,300,525,0.0,1.0,525,1092,1997,-1.0,1,320,105500
6,5,1977,1977,0.0,2.0,1.0,-1.0,2.0,360,1069,0.0,1.0,1069,1069,1977,0.0,2,440,127500
6,6,1975,1975,0.0,2.0,0.0,-1.0,2.0,514,855,0.0,1.0,855,1456,1975,-1.0,2,440,149900
7,6,1975,1975,0.0,2.0,1.0,-1.0,-2.0,0,836,2.0,1.0,836,836,1975,-1.0,1,308,120000
6,5,1978,1978,0.0,2.0,1.0,-1.0,2.0,311,855,-1.0,1.0,855,1456,1978,-1.0,2,440,146000
8,5,2006,2006,1.0,1.0,1.0,0.0,3.0,24,1370,2.0,1.0,1370,1370,2006,0.0,2,484,205000
6,5,2005,2005,1.0,1.0,1.0,-1.0,-2.0,0,1324,2.0,1.0,1324,1324,2005,1.0,2,430,199500
7,5,2006,2006,1.0,1.0,1.0,1.0,3.0,16,1145,2.0,1.0,1145,1145,2006,1.0,2,437,160000
8,5,2004,2005,1.0,1.0,1.0,-1.0,3.0,24,1256,2.0,1.0,1269,1269,2004,1.0,2,430,192000
7,5,2004,2004,1.0,1.0,1.0,-1.0,3.0,326,384,2.0,1.0,744,1374,2004,1.0,2,400,184500
7,5,2000,2000,0.0,1.0,1.0,-1.0,3.0,250,384,2.0,1.0,774,1430,2000,1.0,2,400,180000
6,5,2005,2005,1.0,1.0,2.0,-1.0,3.0,1414,1468,2.0,1.0,1468,1468,2005,1.0,2,528,271500
6,5,1980,1980,0.0,2.0,1.0,-1.0,1.0,543,923,0.0,1.0,923,923,1980,0.0,1,264,143000
6,5,1979,1979,0.0,2.0,1.0,-1.0,-2.0,0,918,0.0,1.0,918,918,1979,-1.0,1,264,99500
6,5,1984,1984,0.0,2.0,1.0,-1.0,2.0,623,744,0.0,1.0,752,752,1984,-1.0,1,264,125000
6,5,1984,1985,0.0,1.0,1.0,-1.0,3.0,338,1040,0.0,1.0,1097,1097,1986,-1.0,2,480,152000
5,5,1920,1950,0.0,3.0,0.0,-1.0,-2.0,0,816,0.0,-1.0,1012,1012,1920,-1.0,1,429,67500
5,7,1961,1995,0.0,2.0,0.0,1.0,2.0,899,1109,0.0,1.0,1155,1155,1987,-1.0,2,576,148000
5,8,1965,2009,0.0,2.0,0.0,-1.0,3.0,553,894,2.0,1.0,894,894,1973,-1.0,1,336,138500
5,5,1967,1967,0.0,2.0,0.0,-1.0,1.0,450,882,0.0,1.0,900,900,1970,-1.0,1,280,122000
5,5,1963,1963,0.0,2.0,0.0,-1.0,2.0,824,1040,-1.0,1.0,1040,1040,1963,1.0,1,308,133000
5,8,1962,2010,0.0,2.0,0.0,-1.0,2.0,659,1040,2.0,1.0,1040,1040,1962,-1.0,1,260,127000
7,5,2004,2005,1.0,1.0,2.0,1.0,3.0,1298,1488,2.0,1.0,1488,1488,2004,1.0,2,506,260000
7,5,2004,2004,1.0,1.0,1.0,1.0,3.0,280,600,2.0,1.0,600,1200,2004,0.0,2,480,155000
7,5,2004,2005,1.0,1.0,1.0,-1.0,-2.0,0,600,2.0,1.0,600,1200,2004,0.0,2,480,151000
7,5,2004,2005,1.0,1.0,1.0,-1.0,3.0,368,600,2.0,1.0,600,1200,2004,0.0,2,480,149500
6,5,2005,2005,1.0,1.0,1.0,-1.0,3.0,376,600,2.0,1.0,600,1236,2005,0.0,2,480,152000
7,5,1999,1999,1.0,1.0,1.0,-1.0,2.0,604,696,2.0,1.0,696,1416,1999,-1.0,2,484,155000
7,5,2003,2003,1.0,1.0,1.0,-1.0,3.0,244,530,2.0,1.0,530,1080,2003,0.0,2,496,147110
8,5,1980,1980,1.0,2.0,1.0,2.0,3.0,728,728,0.0,1.0,788,788,1980,1.0,2,484,155000
8,6,1978,1978,1.0,2.0,1.0,2.0,3.0,1052,1226,0.0,1.0,1226,1226,1978,1.0,2,484,206000
6,8,1976,2005,1.0,2.0,0.0,-1.0,3.0,533,725,2.0,1.0,725,1479,1976,0.0,2,475,130500
7,5,2002,2002,1.0,1.0,1.0,-1.0,3.0,833,1492,2.0,1.0,1492,1492,2002,0.0,2,596,230000
6,7,1972,2006,0.0,2.0,0.0,-1.0,2.0,982,1161,0.0,1.0,1381,1381,1972,0.0,2,676,197500
5,5,1966,1966,0.0,2.0,0.0,-1.0,0.0,698,1232,0.0,1.0,1232,1232,1966,0.0,2,490,142250
