lang_column,TLA,LSL,SQL,PostScript,Brainfuck,PureScript,'Vim script',ColdFusion,'Propeller Spin',PLSQL,Smalltalk,APL,GLSL,Perl,Processing,CSS,Apex,Haxe,Max,'DIGITAL Command Language',R,NSIS,BlitzBasic,Fantom,QMake,Factor,Scala,CMake,Golo,'Visual Basic',J,LiveScript,Dogescript,XS,UrWeb,'GCC Machine Description',AMPL,Slash,PureBasic,Pascal,Assembly,HyPhy,Cool,LabVIEW,'Pure Data',NewLisp,JavaScript,Befunge,Squirrel,Python,Nginx,CartoCSS,Boo,Rebol,TypeScript,'OpenEdge ABL',Makefile,HTML,IDL,Gnuplot,Clojure,C#,Ada,ABAP,PLpgSQL,Stan,Ruby,'Standard ML',Io,eC,SAS,RenderScript,AspectJ,Idris,Stata,M4,Zephir,'AGS Script',Elm,Verilog,Ragel,AutoIt,ChucK,xBase,ooc,REXX,Rust,XML,JSONiq,Diff,E,Cirru,DM,BitBake,Bro,SystemVerilog,PAWN,Gherkin,Lean,Lua,Turing,'Component Pascal',Brightscript,Mako,OpenSCAD,Clarion,KRL,ANTLR,XQuery,LLVM,'Inno Setup','Graphviz (DOT)',Julia,Oz,Scheme,Parrot,Liquid,C,'Ragel in Ruby Host','Web Ontology Language',Fortran,Objective-C,XC,Objective-C++,Mercury,Modula-2,NetLogo,CLIPS,COBOL,Smali,Rouge,Myghty,Racket,Genshi,M,AppleScript,VCL,'Jupyter Notebook',QML,'Csound Document',Lasso,'Cap\'n Proto',VHDL,RobotFramework,'POV-Ray SDL',SaltStack,MoonScript,nesC,D,Crystal,Limbo,Pike,Java,SourcePawn,Logos,Forth,Arduino,Terra,Eagle,Dart,Redcode,Kotlin,Batchfile,Thrift,F#,Hy,Opa,Eiffel,VimL,'Emacs Lisp',Scilab,GAP,Haskell,LilyPond,Gosu,Fancy,'1C Enterprise',Xtend,PigLatin,GDB,PHP,C++,'API Blueprint',Shell,Mathematica,Cycript,DTrace,PicoLisp,Cucumber,ApacheConf,Jasmin,Groovy,Csound,RAML,Omgrofl,Frege,Mask,Nu,AutoHotkey,MAXScript,FLUX,Cuda,Lex,Smarty,Objective-J,Coq,ASP,Pony,Tea,EmberScript,ActionScript,Go,Bison,UnrealScript,XSLT,Self,Swift,'IGOR Pro','Inform 7',Clean,Harbour,KiCad,'Module Management System',Vue,Vala,'Game Maker Language','Gettext Catalog',Nim,Hack,Alloy,Volt,TeX,Nix,Tcl,Ioke,Matlab,LOLCODE,HCL,Arc,Augeas,Nemerle,'Protocol Buffer',Elixir,Metal,CoffeeScript,XProc,Erlang,Prolog,HLSL,FreeMarker,'SRecode Template',Yacc,Groff,SuperCollider,SQLPL,'Common Lisp',PowerShell,Puppet,Handlebars,GDScript,OCaml,Roff,Awk,Agda,Perl6,cluster
TLA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster14
LSL,0,20,0,1,1,1,0,9,0,1,0,1,8,9,1,10,1,9,0,0,9,4,1,1,0,1,9,0,1,9,1,9,1,0,0,0,0,0,1,9,9,0,1,0,0,1,10,0,1,9,0,0,1,1,8,1,8,10,0,0,9,9,9,9,0,0,9,1,9,0,1,0,0,1,0,1,0,1,8,9,0,1,0,1,1,0,9,0,8,1,0,8,0,0,0,0,0,0,7,9,1,0,0,0,8,0,0,0,9,1,0,0,9,1,9,0,8,1,0,0,5,9,0,0,1,1,0,0,9,1,0,0,1,0,1,1,0,0,0,0,0,0,9,0,0,0,1,0,9,0,1,1,9,0,0,9,1,0,0,9,0,2,8,0,0,1,1,8,1,1,0,0,9,0,0,0,0,0,1,0,9,9,0,10,1,0,1,0,8,0,1,9,1,0,1,0,8,1,9,0,0,0,0,0,0,0,1,1,1,0,9,9,0,0,1,0,6,0,0,1,0,0,1,0,9,0,0,1,1,0,0,9,8,9,1,9,1,0,0,0,1,8,9,0,9,1,9,1,0,5,0,1,0,1,0,9,9,0,2,0,9,0,1,1,1,cluster3
SQL,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster4
PostScript,0,1,0,132,2,1,2,4,0,6,3,1,5,25,0,43,1,2,3,8,11,1,1,1,3,1,5,6,1,8,1,1,1,3,2,1,0,2,1,5,15,0,1,0,0,3,44,0,1,31,0,1,1,4,0,5,33,58,2,7,4,7,2,1,1,0,24,2,3,1,3,0,0,1,1,9,0,2,0,1,1,1,1,4,1,1,2,1,0,1,0,0,0,1,0,2,1,0,0,8,1,1,0,0,1,1,1,0,1,2,3,0,1,1,5,0,1,33,1,0,6,19,0,3,1,2,0,1,2,1,0,0,2,0,6,3,0,1,1,1,1,0,1,0,2,0,1,0,3,1,3,2,12,4,5,4,1,2,2,1,0,1,19,0,0,3,1,1,2,10,3,5,4,0,0,2,2,0,1,2,19,29,0,60,5,2,8,0,0,3,1,1,1,0,1,0,0,2,1,0,0,1,6,2,0,0,4,1,1,1,8,2,1,1,12,0,1,1,0,1,0,1,5,0,1,2,0,2,1,0,0,17,0,8,1,6,1,0,0,0,2,3,2,0,3,1,2,9,0,0,0,10,20,2,0,7,8,0,0,0,6,5,8,1,12,cluster9
Brainfuck,0,1,0,2,28,1,0,1,0,1,1,1,0,7,0,5,1,2,1,2,3,0,1,1,0,1,5,4,1,4,1,2,1,0,0,0,0,0,1,2,5,1,1,0,1,1,8,0,1,7,0,1,1,2,0,3,10,6,0,1,6,6,2,1,0,0,6,2,3,0,2,0,0,1,0,1,0,1,0,1,0,1,0,2,2,0,4,0,1,0,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,1,1,2,0,4,1,3,0,0,12,2,0,4,8,0,1,1,3,0,1,2,1,0,0,3,0,3,2,0,1,0,0,0,0,1,0,0,0,1,0,4,3,4,1,8,1,3,6,2,1,0,3,0,1,5,0,1,1,1,2,4,5,2,5,6,0,0,0,0,0,1,0,5,10,0,10,3,0,1,0,0,0,1,3,1,0,1,0,0,1,1,0,0,0,3,1,1,0,2,1,1,0,2,6,0,0,2,0,4,0,0,2,0,1,3,0,1,0,0,3,1,0,0,3,0,5,1,3,1,0,0,0,1,1,2,0,3,1,2,2,0,0,0,4,3,1,0,4,1,0,0,0,6,0,4,1,5,cluster11
PureScript,0,1,0,1,1,4,0,1,0,1,0,1,0,1,0,2,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,2,0,1,1,0,0,1,1,0,1,0,2,0,0,1,1,1,1,0,0,2,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,1,0,1,1,0,2,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,cluster8
'Vim script',0,0,0,2,0,0,146,0,0,1,0,0,1,7,0,14,0,0,1,3,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,2,0,0,0,1,4,0,0,0,0,0,12,0,0,20,1,0,0,1,1,1,14,11,0,0,1,3,0,0,1,0,19,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,10,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,1,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,11,1,1,2,0,0,0,1,0,0,5,7,7,0,64,1,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,4,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,4,0,1,0,0,5,0,0,0,1,8,1,0,2,cluster6
ColdFusion,0,9,0,4,1,1,0,68,0,4,1,1,8,28,1,20,1,10,0,0,10,4,1,1,0,1,10,0,1,17,2,10,1,0,0,0,0,0,1,12,12,0,1,0,0,1,28,0,1,23,0,0,1,1,9,1,10,24,0,0,10,16,9,10,1,0,18,1,9,0,1,0,0,1,0,1,0,1,8,10,0,1,0,1,1,0,10,1,9,1,0,9,0,0,0,0,0,0,7,14,1,0,0,0,8,0,0,0,10,1,0,0,10,1,10,0,8,9,0,0,7,11,0,0,1,1,0,0,11,1,0,0,1,0,1,1,0,0,0,0,5,0,10,0,0,0,1,0,10,0,1,1,20,0,0,9,1,0,0,10,0,2,15,0,0,1,1,8,1,1,0,0,10,0,0,0,0,0,1,0,31,15,0,25,1,0,1,0,8,4,1,11,1,0,1,0,8,1,10,0,0,0,0,0,0,0,16,1,1,0,16,13,0,0,8,0,6,0,0,1,0,0,1,0,10,0,0,1,1,0,0,10,9,10,1,10,1,0,0,0,1,8,9,0,10,1,10,3,0,5,0,1,2,1,2,10,13,0,2,0,10,0,1,1,3,cluster3
'Propeller Spin',0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster4
PLSQL,0,1,0,6,1,1,1,4,0,118,0,1,1,21,0,43,1,1,1,6,4,0,1,1,0,1,7,3,1,11,1,1,1,2,0,2,0,0,1,7,12,0,1,0,0,1,46,0,1,32,0,0,1,2,0,3,23,49,0,0,1,6,1,1,20,0,20,2,1,1,1,0,0,1,0,8,0,2,0,1,0,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,3,0,0,6,1,0,0,1,0,0,1,2,1,1,1,0,1,1,2,0,0,23,0,0,3,16,0,0,1,1,0,0,3,1,0,1,1,1,2,1,0,0,0,0,0,0,1,0,2,0,1,0,2,0,2,1,29,4,2,2,1,1,0,1,0,3,34,1,0,1,1,0,7,6,2,6,2,0,0,0,1,0,2,1,25,25,0,50,2,0,9,0,3,6,1,4,1,0,1,0,0,1,1,0,0,0,3,5,0,0,6,1,1,1,5,9,0,0,18,0,4,1,0,1,0,0,2,0,1,0,0,1,1,0,0,5,0,3,1,1,1,0,0,0,1,4,1,0,7,1,1,7,0,4,0,5,8,2,18,5,7,1,1,0,1,5,5,1,5,cluster9
