repo,Stan,Self,'Pure Data','Jupyter Notebook',Tcl,'Inno Setup',QMake,VHDL,Jasmin,NSIS,Max,OpenSCAD,Cucumber,ColdFusion,'GCC Machine Description',Nix,nesC,Matlab,Awk,'OpenEdge ABL',Perl6,Arduino,Mathematica,'Ragel in Ruby Host',COBOL,M,UrWeb,HCL,Harbour,Groovy,Brightscript,Cirru,SuperCollider,KiCad,PicoLisp,PowerShell,PostScript,NewLisp,'Gettext Catalog',GDScript,Makefile,Kotlin,Assembly,Xtend,Eagle,NetLogo,FLUX,SystemVerilog,Genshi,'Visual Basic',Slash,Eiffel,M4,PLSQL,C#,PLpgSQL,'DIGITAL Command Language',Handlebars,Forth,XSLT,XS,ApacheConf,ANTLR,XML,SAS,CoffeeScript,Thrift,Groff,LSL,GAP,Rebol,Nim,Parrot,SourcePawn,CMake,Clojure,Mercury,DTrace,CLIPS,Lua,GLSL,Rouge,D,OCaml,'Graphviz (DOT)',MAXScript,TeX,Cycript,GDB,'Game Maker Language',Lex,Go,Perl,SQLPL,Verilog,MoonScript,Nu,CSS,Elm,Fancy,LLVM,Erlang,Io,Elixir,Crystal,TypeScript,'AGS Script',Yacc,Haskell,IDL,Clean,AspectJ,AppleScript,Alloy,HTML,Racket,Roff,R,Nginx,Scilab,'Common Lisp',Python,'Component Pascal',Mako,Smali,Liquid,ABAP,PureBasic,Coq,Scheme,Julia,Smarty,VimL,Swift,'Vim script',Puppet,RenderScript,F#,HLSL,LiveScript,Befunge,QML,Batchfile,C++,PHP,Vue,Haxe,Idris,FreeMarker,'Module Management System','Protocol Buffer',C,Ada,Dart,XC,Clarion,JavaScript,Hack,PigLatin,E,Brainfuck,Nemerle,'Standard ML',Ruby,Bro,'POV-Ray SDL',Mask,PureScript,Terra,Agda,Fortran,Prolog,AutoHotkey,Processing,'Emacs Lisp',Lean,Smalltalk,Objective-C++,ActionScript,Pascal,Vala,Rust,XQuery,JSONiq,Gnuplot,Hy,Scala,Java,UnrealScript,Cuda,Shell,EmberScript,Stata,ASP,Myghty,Logos,SaltStack,Objective-C,Bison,cluster
0,0,0,0,44470,0,0,0,0,0,3698,0,0,0,0,0,0,0,218603,0,0,10883,0,0,5841,0,239,0,0,0,5689,0,0,0,0,0,9458,19072,0,0,0,172084,2041,24808,0,0,0,0,0,0,0,0,0,28998,0,5685,51976,0,3096,0,3804,0,2839,0,0,0,811852,0,3118,0,0,0,0,0,0,24452,92741,0,0,0,645753,0,0,0,2751,0,0,372744,0,0,0,0,7076,81229,0,0,0,0,12849,0,0,0,15677,607529,260622,515,17013,0,0,10770,0,0,0,0,0,32475,128599,0,84095,0,0,45682,7337,0,0,0,0,0,0,0,24205,0,1495,282,7275,0,0,0,0,0,0,0,0,819,309,53624,0,0,0,0,0,68410,11212,0,0,0,0,73428,0,0,0,0,0,0,95856,0,0,0,0,0,0,97840,45244,0,0,0,0,130,26685,0,16728,0,2431,0,0,0,0,76570,536253,0,203136,224,0,0,9924,0,0,0,72874,0,cluster1
1,0,0,0,72,0,1949,399,0,0,0,0,0,8162,0,0,0,719,912,2790,0,0,1430,0,0,1,245,0,0,0,292,0,0,0,0,0,3113,0,0,0,0,2416,0,20356,0,0,0,0,0,0,1264,0,0,73663,66284,34669,0,0,398,0,7177,0,1251,0,0,0,49661,2016,5379,0,0,0,0,0,0,21598,9284,0,0,0,5303,177510,0,0,0,0,0,26211,0,0,0,0,349942,57689,0,0,0,0,5406,0,0,0,0,0,0,0,17960695,0,0,329927,5962,0,0,0,0,4768,0,0,36350,1297,0,0,18476,0,0,0,0,0,0,0,0,0,0,407,109022,463,372743,0,1712,0,0,3766,0,2121,97380,26892,0,0,0,0,0,678,736829,0,0,0,0,34772,0,0,0,0,0,0,180,0,0,0,0,0,0,1347729,80,0,11874,3898,0,0,12466,0,1118,0,51058,0,0,4647,0,14027149,377616,0,74813,683,0,0,3753,0,0,0,369389,15653,cluster1
2,0,0,0,14403956,242,0,0,0,0,27917,0,0,0,0,0,612,0,354,701,0,0,0,0,0,0,0,0,0,0,25107,0,0,0,0,0,2907,0,0,0,0,49,0,228374,0,0,0,0,0,0,0,0,0,1444,0,45211,0,0,0,0,33894,0,9603,0,0,0,2659,0,13845,0,0,0,0,0,0,11502,347,0,0,0,319,0,0,346,412,0,0,14043,0,0,0,0,1429,336,20085,0,0,0,14836,0,0,0,471,0,0,0,219134,0,0,5149,0,0,0,0,0,1698,385,0,2088,0,0,0,12981,0,535,0,0,0,0,0,0,0,3276,5795,161216,0,5723,0,327,0,0,0,0,6954,29619,133492,0,0,0,2116,0,0,16527,0,0,0,0,14284,0,0,0,2575,0,0,2088,0,0,0,0,0,0,627,26840,0,0,51026,0,11954,0,0,0,0,598,0,0,0,0,1317,2952,0,0,543,0,0,113,0,0,0,39233,52681,cluster1
3,0,0,0,52126,0,4103,0,0,0,14653,0,0,23361,1717,4,0,0,0,0,0,1116,569,0,0,0,0,0,0,0,9486,0,0,0,0,0,1420,13803,0,0,0,45432,0,58166,0,0,0,0,0,0,70,0,0,158903,22886,10324672,0,26402,15440,0,2102,0,1074,0,2369,156731,124128,3431,38795,0,6427,0,0,0,0,84684,2707,0,2053,0,10778,3509,0,24,0,0,0,5503,0,29,14164,0,6999,487402,0,0,0,0,1774,0,0,0,0,0,0,13819,1664,0,0,28932,0,0,0,0,0,10490,0,0,1828,4936,0,24481,25879814,0,0,0,0,0,0,0,69236,0,2398814,46,18448,0,13289,0,840,0,1650,0,0,44685,423972,92119,0,0,0,0,0,471,17643852,0,0,0,0,10822,0,0,0,0,0,0,996,0,0,11462,0,0,0,0,557,0,0,0,0,0,37109,21071,0,0,14675,799,0,103851,0,163388,92921,0,405446,47784,0,0,103,0,0,0,33232,0,cluster1
4,0,0,0,34069,12927,0,0,0,0,0,0,0,83886,0,0,0,0,39417258,701,0,0,0,1995,0,0,187396,0,41069,13163,989,0,0,0,0,0,1028,0,0,0,0,11281,0,2834959,0,0,0,0,0,0,2563773,0,0,0,0,144133,0,0,0,0,455,0,48278,0,0,0,235742,0,132,0,0,250,0,0,47796,7198,32774,0,3117,0,10404,51844,0,1367,0,0,0,40661,0,7102,0,745,39649,10324,0,1242,0,0,2678,0,0,0,91,0,45,0,4437,0,1951,31,0,0,0,283,0,413335,0,0,1284,3121,8,0,58920,0,12129,0,0,0,0,0,1005,174,4831,49796,23,0,0,0,23,0,0,0,0,166922,317,61034,175,91,0,0,0,197907,18521,0,0,0,0,43206,0,0,0,0,0,0,207,0,23430,0,0,0,0,15401,0,0,0,15840347,0,6192,45842,15982,38285839,0,0,0,0,16419807,190,60243,30976,0,75217,132,0,0,0,0,0,0,90584,0,cluster1
5,0,0,0,78018,0,0,0,0,0,0,1126,0,499,0,0,0,0,27623,2002,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,468,13803,0,0,0,342,0,1319,0,0,0,0,0,0,70,0,0,160664,22886,17516,42911,26402,0,0,308,0,29705,0,0,0,3936,0,3131,0,0,0,0,0,0,964,532,0,2053,0,13141,32348,0,0,873,0,0,293413,0,0,0,0,956921,380,0,0,0,0,172,0,0,0,1147,0,0,0,2668,0,4051,2944,0,0,0,0,22459,265,585,39036,3124,3461,0,860,13124,0,0,0,0,0,0,0,575,498393,593,552,3963,1032,0,0,0,0,7417,0,0,75,496215,24233,42064,0,0,3105,0,1205,12377,0,1,0,0,27209,0,0,0,1041,0,1260,32460,0,0,0,0,0,0,0,0,0,0,6198,0,0,4974,15982,3913,0,200488,0,0,0,709,34901,118965,0,33138,2242,0,6185,0,0,4439,0,355370,0,cluster1
6,0,0,0,57883639,3686,13289,0,0,0,0,0,0,16105,1680,0,0,0,1878,0,6613,0,7630,0,4275,0,0,0,0,0,260,0,0,0,0,0,19038,19551,0,0,0,91,0,24838,162291,0,0,0,0,0,8,0,0,0,68,12073,5235,68,0,0,7119,0,356,0,0,0,422,0,12642,0,0,0,0,0,0,1711,2808,0,15661,0,34985,305102,0,21769,904,0,0,12381,0,0,0,0,7201,97907,0,0,0,0,16435,0,0,0,0,0,0,0,106883,0,0,0,0,0,0,0,0,10260,0,0,45062,0,0,0,185384,0,0,0,0,0,0,0,0,42902,0,63,124255,0,1627,0,0,0,0,0,0,556,324481,82172,296,17914,0,0,0,93759,28494,0,70897,0,1842,90259,0,0,0,0,0,0,28881496,0,0,0,0,0,0,0,0,0,2103,2975,0,0,0,636,0,0,15555,0,0,0,0,41018,17247,0,1,6567,0,7385,103,0,0,0,17864,0,cluster1
7,0,0,0,7831429,460,0,15371,0,0,5413,0,0,1809,0,0,0,0,461,19656,188,262503,0,0,0,0,71,0,0,0,5413,0,0,0,0,0,123,0,0,0,0,45,0,10131731,0,0,0,0,0,0,4884,0,0,0,0,39894,0,0,0,0,2760,0,206517,0,0,0,588,0,202,0,0,0,0,0,4687,5509,0,0,0,0,36344837,0,0,0,0,0,0,83993,0,0,0,43116,9706,624514,0,0,0,0,6455,0,0,0,16736,0,168446,0,387632,0,82466,11785,0,0,0,0,0,9945,0,0,7507,0,0,4496,85416,0,0,0,0,0,0,0,0,0,251,5151,38333,0,0,0,0,0,0,0,0,7343,510,65849,5154,0,0,0,0,56210,1050,0,0,0,1842,1147148,0,0,0,0,0,0,3285,0,0,0,0,0,0,0,0,0,0,12766,0,0,3537,0,0,0,0,1224,0,0,0,21054,16561,12824,192707,441,0,19621,40998,0,0,0,19370,0,cluster1
8,0,14085,0,28690,0,7982,0,0,0,0,0,0,1078,0,0,0,0,5534,0,0,0,0,187031,10999,0,0,0,0,0,22539,0,0,120264,0,0,0,0,0,0,0,873,0,3859,0,0,0,0,0,946,7953,0,0,0,13774,8780,0,0,0,35545,50542,0,796,0,0,0,30020,100994,43,0,87388,0,0,0,0,92111,17296,0,0,0,0,33057,0,0,0,0,0,115348,0,0,0,41835,210040,673116,0,0,0,0,11158,0,0,0,1972,0,1524,0,120564,398388,64410,109328,0,0,0,0,0,8186,0,0,2693,0,0,0,284501,0,2147257,0,0,0,0,5899,0,11990,130,2095213,2284,0,0,0,0,0,0,0,0,37,4215,14780,0,0,0,0,0,36933,3235,0,0,0,0,26220,0,328,0,87388,0,29950,2590,3014907,0,0,0,0,0,90416,5200,0,5751,7436,0,0,6905,0,0,0,2719,0,0,0,0,159870,6053,0,272756,11337,0,23535,186679,936,0,0,701737,0,cluster1
9,0,0,0,1198927,899,0,0,830,0,0,0,333,699,86,0,2212,0,27174,17840,0,5875,0,0,0,4,71,0,0,0,1080,0,520,0,0,0,660749,19551,0,0,0,5452,0,549,0,1312843,0,0,0,0,916,0,375,0,0,5302665,0,0,0,979,12347,8701,24139,0,0,0,211,2528,6284,2080,0,0,0,0,0,98207,1,0,0,0,10002,512,0,324,46735,0,0,14922,0,0,0,3337,641,1653,0,274,0,0,4979,487,0,0,487,140,692,0,7947,18153345,4414,512,0,0,0,0,0,3810,8926,0,48046,2128,21433,632,6512,0,0,1142345,1883,962,0,0,559,210,0,2215,7488,8140,8261,0,1622,0,5790,0,0,69,104146,25541,0,447,0,0,0,274,475,99,489,0,0,1990,0,0,0,0,0,0,1282,0,0,597,0,0,0,0,0,720,0,8057,213,0,554530,1133,79166,485,495,114,4,0,0,423617,15222,20840,192707,231,0,0,401882,0,0,1318,1214894,78805,cluster2
