lang_column,Cuda,Nim,M,Swift,Java,QMake,PowerShell,Verilog,Slash,D,OCaml,POV-Ray SDL,XQuery,Bro,C,Elm,SQLPL,Max,Batchfile,Graphviz (DOT),LLVM,AutoHotkey,Scala,ColdFusion,AGS Script,Roff,Self,Io,Puppet,CSS,FreeMarker,Assembly,IDL,Scheme,Eiffel,COBOL,XML,VimL,Perl,Coq,Objective-C,OpenEdge ABL,Smarty,SuperCollider,NewLisp,KiCad,GDScript,Prolog,Clojure,SAS,Arduino,Lex,MoonScript,Myghty,Vim script,PostScript,Haskell,Gnuplot,C#,CoffeeScript,Pascal,HLSL,PHP,Alloy,Idris,CMake,Terra,GAP,PLSQL,Brightscript,Cirru,C++,Genshi,Tcl,Mathematica,Clarion,GCC Machine Description,Rebol,SaltStack,Haxe,Stan,UnrealScript,Mercury,PicoLisp,Groff,Emacs Lisp,Yacc,Pure Data,Hack,Bison,Groovy,Brainfuck,AppleScript,Logos,Befunge,Processing,Fortran,ANTLR,ActionScript,PLpgSQL,FLUX,Jasmin,Matlab,HTML,ASP,PigLatin,Protocol Buffer,LSL,EmberScript,Clean,GLSL,Rust,E,Ada,OpenSCAD,MAXScript,Visual Basic,ApacheConf,Awk,XS,Gettext Catalog,Hy,JavaScript,SystemVerilog,Dart,Lean,Smali,Nemerle,Mako,Racket,DIGITAL Command Language,AspectJ,Lua,Cucumber,Fancy,M4,Ragel in Ruby Host,R,TypeScript,Cycript,RenderScript,XSLT,Nginx,Julia,GDB,Scilab,Harbour,Stata,Eagle,NSIS,JSONiq,Python,Vue,Go,Kotlin,CLIPS,Xtend,Rouge,Crystal,PureBasic,ABAP,Handlebars,Module Management System,Parrot,Mask,Component Pascal,Agda,SourcePawn,Inno Setup,Erlang,NetLogo,UrWeb,Thrift,Common Lisp,Makefile,Forth,Nix,Jupyter Notebook,Smalltalk,Game Maker Language,VHDL,HCL,Liquid,Objective-C++,QML,Vala,Standard ML,Nu,TeX,nesC,PureScript,Elixir,LiveScript,F#,Shell,DTrace,XC,Perl6,Ruby
Cuda,60.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0
Nim,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,4.0,0.0,38.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
Swift,0.0,0.0,0.0,232.0,11.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,14.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,4.0,0.0,3.0,2.0,2.0,0.0,1.0,5.0,0.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,3.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,30.0,0.0,0.0,0.0,55.0
Java,2.0,0.0,2.0,11.0,1510.0,0.0,13.0,5.0,2.0,6.0,9.0,1.0,5.0,0.0,104.0,4.0,2.0,0.0,77.0,0.0,1.0,4.0,69.0,4.0,0.0,1.0,0.0,5.0,0.0,162.0,14.0,27.0,6.0,5.0,4.0,4.0,1.0,3.0,53.0,0.0,63.0,0.0,4.0,1.0,2.0,1.0,0.0,9.0,14.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,14.0,1.0,39.0,10.0,7.0,1.0,46.0,2.0,1.0,18.0,0.0,11.0,7.0,0.0,4.0,116.0,1.0,6.0,4.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,19.0,9.0,1.0,0.0,0.0,0.0,40.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,8.0,3.0,1.0,1.0,7.0,168.0,4.0,4.0,22.0,4.0,0.0,0.0,12.0,8.0,0.0,5.0,4.0,0.0,11.0,7.0,5.0,0.0,0.0,2.0,177.0,1.0,6.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,20.0,7.0,1.0,2.0,1.0,23.0,9.0,1.0,1.0,26.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,148.0,0.0,20.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,3.0,13.0,0.0,1.0,10.0,8.0,104.0,6.0,5.0,9.0,5.0,0.0,4.0,0.0,5.0,13.0,1.0,4.0,2.0,0.0,16.0,0.0,0.0,6.0,7.0,3.0,214.0,0.0,0.0,5.0,68.0
QMake,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
PowerShell,2.0,0.0,0.0,2.0,13.0,0.0,108.0,4.0,0.0,4.0,5.0,0.0,4.0,0.0,23.0,4.0,1.0,0.0,25.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,1.0,21.0,2.0,10.0,1.0,4.0,4.0,4.0,0.0,2.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,23.0,5.0,5.0,0.0,10.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,4.0,22.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,4.0,26.0,6.0,0.0,4.0,4.0,0.0,0.0,6.0,4.0,0.0,4.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,5.0,0.0,2.0,0.0,9.0,6.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,30.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,20.0,4.0,4.0,1.0,2.0,1.0,4.0,0.0,4.0,4.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,4.0,4.0,1.0,38.0,2.0,0.0,0.0,12.0
Verilog,0.0,0.0,0.0,2.0,5.0,0.0,4.0,14.0,0.0,4.0,4.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,2.0,6.0,0.0,4.0,4.0,4.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,6.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,7.0,0.0,0.0,0.0,4.0
Slash,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
D,0.0,0.0,0.0,3.0,6.0,0.0,4.0,4.0,0.0,24.0,5.0,0.0,4.0,0.0,6.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,7.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,2.0,5.0,0.0,5.0,4.0,4.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,10.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,5.0,1.0,4.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,0.0,1.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,9.0,4.0,4.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,4.0,1.0,9.0,3.0,0.0,1.0,8.0
