lang_column,Smarty,OCaml,Swift,Batchfile,Perl,Jasmin,GAP,Agda,Roff,DIGITAL Command Language,Nemerle,ActionScript,HCL,Cycript,OpenSCAD,FLUX,C,QMake,Eagle,Python,RenderScript,Haxe,Alloy,CoffeeScript,Myghty,PureScript,Shell,TeX,ApacheConf,ABAP,R,Smali,Gettext Catalog,Befunge,Inno Setup,IDL,UnrealScript,SuperCollider,Racket,Perl6,LLVM,Handlebars,Elixir,FreeMarker,C#,PLSQL,Cuda,Elm,PHP,Tcl,Groovy,Cucumber,OpenEdge ABL,Component Pascal,SAS,HTML,TypeScript,Rust,Rebol,Protocol Buffer,Nix,Verilog,Emacs Lisp,Max,Cirru,Common Lisp,SaltStack,CLIPS,C++,Mako,HLSL,Idris,Self,GLSL,Vue,PostScript,Xtend,Matlab,Julia,XML,NetLogo,Stan,VHDL,XSLT,Ragel in Ruby Host,SystemVerilog,Eiffel,Vim script,Nginx,Io,XQuery,M,Go,Fancy,COBOL,Lua,Bro,PLpgSQL,GCC Machine Description,Thrift,Fortran,Assembly,Clojure,Awk,ANTLR,Groff,Parrot,Genshi,Standard ML,Module Management System,LiveScript,MoonScript,Stata,KiCad,Objective-C,LSL,ColdFusion,F#,MAXScript,DTrace,XS,Arduino,AppleScript,NewLisp,Haskell,Gnuplot,CSS,Dart,Mercury,Terra,Erlang,Scilab,Nu,Ada,Clarion,Puppet,Lean,VimL,D,QML,Brainfuck,Processing,nesC,Brightscript,Vala,GDScript,Crystal,Prolog,Lex,Coq,Nim,Bison,Scala,Mask,XC,AGS Script,Kotlin,Visual Basic,Smalltalk,ASP,EmberScript,Java,Scheme,Makefile,NSIS,GDB,CMake,Mathematica,JavaScript,UrWeb,Graphviz (DOT),Clean,Forth,PicoLisp,SourcePawn,PigLatin,Rouge,Hy,PowerShell,Logos,Hack,SQLPL,Ruby,POV-Ray SDL,Pure Data,JSONiq,Slash,Objective-C++,Jupyter Notebook,Pascal,AutoHotkey,Liquid,AspectJ,Harbour,E,PureBasic,M4,Game Maker Language,Yacc
Smarty,72.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
OCaml,0.0,40.0,3.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,12.0,0.0,4.0,0.0,4.0,0.0,0.0,11.0,6.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,2.0,7.0,0.0,0.0,4.0,8.0,6.0,5.0,4.0,0.0,0.0,0.0,6.0,4.0,5.0,0.0,4.0,4.0,4.0,3.0,0.0,4.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,4.0,1.0,5.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,6.0,4.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,9.0,5.0,15.0,1.0,0.0,1.0,2.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,1.0,0.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Swift,0.0,3.0,232.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,11.0,0.0,3.0,0.0,3.0,0.0,0.0,30.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,8.0,1.0,0.0,2.0,7.0,3.0,3.0,2.0,0.0,0.0,1.0,12.0,2.0,4.0,0.0,5.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,8.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,51.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,8.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,11.0,3.0,4.0,2.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,55.0,0.0,0.0,2.0,0.0,5.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Batchfile,3.0,5.0,4.0,434.0,40.0,0.0,6.0,0.0,2.0,5.0,1.0,11.0,0.0,0.0,4.0,1.0,81.0,1.0,0.0,111.0,0.0,5.0,0.0,14.0,1.0,0.0,154.0,18.0,12.0,4.0,21.0,2.0,0.0,0.0,6.0,3.0,1.0,0.0,1.0,6.0,2.0,1.0,5.0,8.0,33.0,9.0,4.0,4.0,33.0,6.0,16.0,6.0,1.0,0.0,2.0,127.0,16.0,4.0,3.0,14.0,4.0,4.0,11.0,0.0,4.0,7.0,1.0,1.0,80.0,3.0,1.0,0.0,0.0,8.0,0.0,4.0,0.0,6.0,4.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,4.0,0.0,3.0,4.0,6.0,1.0,14.0,0.0,4.0,11.0,0.0,4.0,1.0,4.0,1.0,25.0,5.0,4.0,4.0,22.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,41.0,4.0,4.0,3.0,1.0,4.0,1.0,0.0,1.0,0.0,8.0,2.0,108.0,4.0,0.0,1.0,5.0,2.0,0.0,5.0,1.0,2.0,3.0,3.0,5.0,1.0,2.0,3.0,0.0,1.0,4.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,1.0,16.0,3.0,8.0,1.0,77.0,7.0,91.0,9.0,0.0,19.0,3.0,114.0,0.0,0.0,0.0,6.0,0.0,4.0,2.0,0.0,0.0,25.0,3.0,0.0,3.0,32.0,2.0,0.0,4.0,1.0,12.0,6.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,11.0,1.0,5.0
Perl,2.0,8.0,5.0,40.0,366.0,0.0,4.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,4.0,1.0,78.0,1.0,2.0,102.0,1.0,6.0,0.0,8.0,1.0,0.0,130.0,25.0,4.0,4.0,23.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,14.0,2.0,1.0,6.0,5.0,17.0,3.0,2.0,4.0,41.0,7.0,12.0,5.0,1.0,0.0,2.0,67.0,6.0,5.0,3.0,16.0,5.0,6.0,12.0,0.0,4.0,7.0,1.0,1.0,76.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,11.0,5.0,0.0,0.0,0.0,4.0,15.0,2.0,0.0,4.0,1.0,1.0,5.0,6.0,5.0,18.0,0.0,4.0,12.0,0.0,0.0,0.0,2.0,5.0,37.0,8.0,10.0,2.0,28.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,40.0,4.0,6.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,12.0,3.0,70.0,4.0,1.0,2.0,9.0,3.0,0.0,5.0,0.0,1.0,3.0,10.0,6.0,0.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0,7.0,7.0,1.0,0.0,2.0,20.0,4.0,0.0,2.0,1.0,11.0,1.0,4.0,1.0,53.0,10.0,71.0,8.0,3.0,16.0,4.0,79.0,0.0,0.0,0.0,5.0,1.0,5.0,2.0,0.0,1.0,8.0,3.0,0.0,0.0,50.0,1.0,1.0,4.0,0.0,5.0,2.0,9.0,4.0,4.0,0.0,0.0,1.0,0.0,7.0,1.0,9.0
Jasmin,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAP,0.0,1.0,0.0,6.0,4.0,0.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,11.0,1.0,7.0,1.0,1.0,2.0,2.0,9.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
Agda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roff,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
DIGITAL Command Language,0.0,0.0,1.0,5.0,4.0,0.0,1.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0
