lang_column,'Graphviz (DOT)',PHP,Lua,Dart,QML,LiveScript,GDScript,Smali,GDB,'OpenEdge ABL',Coq,Haxe,Clojure,JSONiq,Elm,Perl,Rouge,Max,Thrift,Rust,ASP,PLSQL,'DIGITAL Command Language',ColdFusion,Vue,Java,Go,Lex,ApacheConf,Vala,KiCad,D,Cucumber,CSS,'Pure Data',PureBasic,Myghty,SaltStack,Nu,HTML,Clarion,'Game Maker Language',C++,Alloy,Awk,PicoLisp,QMake,Eagle,Batchfile,Roff,Groff,DTrace,Terra,'GCC Machine Description',Brainfuck,SystemVerilog,Clean,'Jupyter Notebook',Fortran,Cirru,Scala,Verilog,Liquid,'Standard ML',GLSL,PostScript,HLSL,LSL,GAP,PowerShell,'Module Management System',M4,Harbour,TeX,Processing,CMake,Idris,Mako,VHDL,Lean,RenderScript,Racket,Kotlin,FreeMarker,XC,Parrot,Haskell,R,IDL,Smalltalk,Slash,Mask,nesC,Genshi,Perl6,ABAP,NetLogo,'Component Pascal',SuperCollider,MAXScript,SQLPL,Python,Ruby,SourcePawn,AspectJ,Makefile,Swift,SAS,'Vim script',OpenSCAD,ANTLR,JavaScript,Forth,F#,'Inno Setup',Bison,Gnuplot,Elixir,'Emacs Lisp',Smarty,Hy,Groovy,LLVM,Mercury,OCaml,Scheme,Objective-C++,PLpgSQL,NewLisp,MoonScript,Befunge,Nemerle,UnrealScript,AppleScript,Xtend,Fancy,C#,TypeScript,Nginx,Objective-C,Io,FLUX,NSIS,Tcl,Arduino,Rebol,UrWeb,Nix,Scilab,XQuery,PureScript,Stan,Agda,Stata,Assembly,'Protocol Buffer',Matlab,Shell,Erlang,HCL,ActionScript,COBOL,'POV-Ray SDL',Jasmin,'AGS Script',Self,PigLatin,XSLT,CLIPS,Yacc,Brightscript,C,Pascal,M,Ada,Prolog,E,XS,Logos,Bro,Nim,AutoHotkey,'Common Lisp',Julia,XML,Hack,'Visual Basic',Handlebars,'Gettext Catalog',Cuda,'Ragel in Ruby Host',Mathematica,Crystal,Cycript,CoffeeScript,Puppet,EmberScript,VimL,Eiffel,cluster
'Graphviz (DOT)',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster3
PHP,0,744,9,5,0,4,0,0,1,0,0,5,7,4,4,41,0,0,1,6,7,4,2,6,2,46,18,3,55,4,1,5,5,209,0,0,0,1,1,146,3,0,42,0,1,0,1,0,33,1,12,0,0,0,1,0,0,2,2,4,12,4,4,1,4,1,1,4,1,10,1,2,0,8,1,7,0,0,4,3,0,1,1,4,0,1,10,9,0,1,0,4,0,0,4,4,0,0,0,0,1,65,42,4,0,36,7,0,0,4,0,212,4,3,1,1,1,6,6,8,1,5,1,0,8,6,3,0,1,0,0,1,0,1,1,0,22,5,6,18,4,0,2,7,0,2,0,5,0,5,0,0,0,1,15,6,6,107,9,0,11,4,1,0,0,0,1,9,0,2,0,41,7,2,4,4,0,1,1,0,0,4,7,6,0,2,9,1,0,1,1,2,0,0,13,1,0,4,4,cluster1
Lua,0,9,100,5,0,5,0,0,1,1,0,6,7,4,4,12,0,0,0,6,0,0,1,4,0,20,10,0,2,4,0,5,4,18,0,0,0,0,0,18,0,0,27,1,0,0,0,0,11,1,3,0,0,1,1,0,0,4,3,4,7,4,4,0,5,1,1,4,0,7,1,2,0,10,2,6,0,1,4,3,0,1,1,2,0,0,8,8,0,1,0,4,0,0,1,4,0,0,0,0,0,31,11,2,0,21,5,1,1,4,0,21,4,1,0,0,0,5,2,0,0,5,1,0,6,5,5,0,0,1,0,0,0,0,0,0,12,5,0,14,4,0,2,5,1,0,0,4,0,4,0,0,0,0,7,5,7,32,8,0,4,4,0,0,0,0,0,1,1,1,0,20,5,0,5,2,0,0,0,0,0,4,6,6,0,0,5,1,0,0,0,1,0,0,7,1,1,5,4,cluster2
Dart,0,5,5,20,0,4,0,0,0,0,0,5,4,4,4,4,0,0,0,6,0,0,0,4,0,6,6,0,0,4,0,4,4,8,0,0,0,0,0,8,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,6,4,4,0,4,0,0,4,0,4,0,0,0,4,1,0,0,0,4,3,0,0,1,2,0,0,5,4,0,0,0,4,0,0,0,4,0,0,0,0,0,6,4,0,0,6,3,0,0,4,0,7,4,0,0,0,0,4,1,0,0,4,0,0,4,4,1,0,1,0,0,0,0,0,0,0,6,6,0,5,4,0,1,4,0,0,0,4,0,4,0,0,0,0,4,5,4,7,5,0,4,4,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,0,0,4,5,4,0,0,4,1,0,0,0,0,0,0,5,0,0,0,4,cluster2
QML,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster3
LiveScript,0,4,5,4,0,24,0,0,0,0,0,4,7,4,4,4,0,0,0,4,0,0,0,4,0,7,4,0,0,4,0,4,5,10,0,0,0,0,0,9,0,0,4,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,4,4,4,4,0,4,0,0,4,0,4,0,0,0,6,1,0,0,0,4,3,0,0,1,2,0,0,6,4,0,0,0,4,0,0,0,4,0,0,0,0,0,7,7,0,0,8,2,0,0,4,0,11,4,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,5,0,4,4,0,1,4,0,0,0,4,0,4,0,0,0,0,4,4,4,10,7,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,5,7,1,0,4,1,0,0,0,0,0,0,8,0,0,0,4,cluster2
GDScript,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,cluster3
Smali,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster3
GDB,0,1,1,0,0,0,1,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,2,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,cluster3
'OpenEdge ABL',0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,cluster3
